,NP_Synthesis,NP size_avg (nm),shape,method,Bacteria,NP_concentration (μg/ml),ZOI,reference,time (hr),Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"min_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Strain,Coating,Solvent for extract,Precursor of NP,"Temperature for extract, C","Duration preparing extract, min",Concentration of precursor (mM),DONE?,,COUNT of DONE,
10,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Pseudomonas aeruginosa,62.5,9.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
11,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Escherichia coli,62.5,7.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
12,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Stenotrophomonas maltophilia,62.5,9.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Bacteria,Stenotrophomonas maltophilia,opportunistic pathogen,n,24.0,35.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
13,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Klebsiella pneumoniae,62.5,7.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,60,30,1,done,,,
14,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Enterococcus faecium,125.0,8.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecium,opportunistic pathogen,p,24.0,37.0,2.0,blood,,0,water (distilled),AgNO3,60,30,1,done,,,
15,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus aureus,125.0,10.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
16,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus haemolyticus,125.0,10.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus haemolyticus,non-pathogenic,p,24.0,35.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
17,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Citrobacter braakii,125.0,9.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Bacteria,Citrobacter braakii,opportunistic pathogen,n,24.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
18,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Pseudomonas aeruginosa,125.0,10.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
19,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Escherichia coli,125.0,8.6,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
20,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Stenotrophomonas maltophilia,125.0,10.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Bacteria,Stenotrophomonas maltophilia,opportunistic pathogen,n,24.0,35.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
21,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Klebsiella pneumoniae,125.0,8.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,60,30,1,done,,,
22,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Enterococcus faecium,250.0,10.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecium,opportunistic pathogen,p,24.0,37.0,2.0,blood,,0,water (distilled),AgNO3,60,30,1,done,,,
23,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus aureus,250.0,11.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
24,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus haemolyticus,250.0,12.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus haemolyticus,non-pathogenic,p,24.0,35.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
25,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Citrobacter braakii,250.0,9.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Bacteria,Citrobacter braakii,opportunistic pathogen,n,24.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
26,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Pseudomonas aeruginosa,250.0,11.6,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
27,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Escherichia coli,250.0,10.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
28,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Stenotrophomonas maltophilia,250.0,11.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Bacteria,Stenotrophomonas maltophilia,opportunistic pathogen,n,24.0,35.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
29,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Klebsiella pneumoniae,250.0,9.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,60,30,1,done,,,
30,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Enterococcus faecium,500.0,12.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecium,opportunistic pathogen,p,24.0,37.0,2.0,blood,,0,water (distilled),AgNO3,60,30,1,done,,,
31,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus aureus,500.0,12.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
32,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus haemolyticus,500.0,14.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus haemolyticus,non-pathogenic,p,24.0,35.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
33,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Citrobacter braakii,500.0,10.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Bacteria,Citrobacter braakii,opportunistic pathogen,n,24.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
34,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Pseudomonas aeruginosa,500.0,14.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
35,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Escherichia coli,500.0,11.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
36,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Stenotrophomonas maltophilia,500.0,12.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Bacteria,Stenotrophomonas maltophilia,opportunistic pathogen,n,24.0,35.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
37,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Klebsiella pneumoniae,500.0,10.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,60,30,1,done,,,
38,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Enterococcus faecium,1000.0,13.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecium,opportunistic pathogen,p,24.0,37.0,2.0,blood,,0,water (distilled),AgNO3,60,30,1,done,,,
39,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus aureus,1000.0,13.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
40,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus haemolyticus,1000.0,16.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus haemolyticus,non-pathogenic,p,24.0,35.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
41,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Citrobacter braakii,1000.0,11.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Bacteria,Citrobacter braakii,opportunistic pathogen,n,24.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
42,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Pseudomonas aeruginosa,1000.0,15.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
43,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Escherichia coli,1000.0,12.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
44,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Stenotrophomonas maltophilia,1000.0,13.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Bacteria,Stenotrophomonas maltophilia,opportunistic pathogen,n,24.0,35.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
45,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Klebsiella pneumoniae,1000.0,11.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,24.0,30.0,2.0,respiratory tract,,0,water (distilled),AgNO3,60,30,1,done,,,
46,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Escherichia coli,100.0,22.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
47,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Pseudomonas aeruginosa,100.0,30.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
48,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Escherichia coli,100.0,22.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
49,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Pseudomonas aeruginosa,100.0,17.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,,0,water (distilled),AgNO3,60,30,1,done,,,
50,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Staphylococcus aureus,100.0,15.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
51,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Enterococcus faecalis,100.0,10.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecalis,pathogenic,p,24.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
52,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Enterobacter cloacae,100.0,13.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,30.0,2.0,water,,0,water (distilled),AgNO3,60,30,1,done,,,
53,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Citrobacter freundii,100.0,15.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Bacteria,Citrobacter freundii,opportunistic pathogen,n,6.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
54,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Salmonella typhi,100.0,14.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37.0,2.0,blood,,0,water (distilled),AgNO3,60,30,1,done,,,
55,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Staphylococcus aureus,100.0,17.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
56,green synthesis using phyllanthus niruri,20.0,spherical,ZOI,Staphylococcus aureus,100.0,14.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
57,green synthesis using phoenix dactylifera seed,22.0,spherical,ZOI,Staphylococcus aureus,500.0,24.0,https://onlinelibrary.wiley.com/doi/full/10.1155/2018/1860280,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 43300,0,water (distilled),AgNO3,80,20,1,done,,,
58,green synthesis using phoenix dactylifera seed,22.0,spherical,ZOI,Staphylococcus aureus,250.0,20.5,https://onlinelibrary.wiley.com/doi/full/10.1155/2018/1860280,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 43300,0,water (distilled),AgNO3,80,20,1,done,,,
59,green synthesis using phoenix dactylifera seed,22.0,spherical,ZOI,Staphylococcus aureus,125.0,18.0,https://onlinelibrary.wiley.com/doi/full/10.1155/2018/1860280,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 43300,0,water (distilled),AgNO3,80,20,1,done,,,
60,green synthesis using phoenix dactylifera seed,22.0,spherical,ZOI,Staphylococcus aureus,62.5,16.5,https://onlinelibrary.wiley.com/doi/full/10.1155/2018/1860280,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 43300,0,water (distilled),AgNO3,80,20,1,done,,,
61,green synthesis using phoenix dactylifera seed,22.0,spherical,ZOI,Staphylococcus aureus,31.25,17.5,https://onlinelibrary.wiley.com/doi/full/10.1155/2018/1860280,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 43300,0,water (distilled),AgNO3,80,20,1,done,,,
62,green synthesis using phoenix dactylifera seed,22.0,spherical,ZOI,Staphylococcus aureus,15.6,12.0,https://onlinelibrary.wiley.com/doi/full/10.1155/2018/1860280,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 43300,0,water (distilled),AgNO3,80,20,1,done,,,
63,green synthesis using phoenix dactylifera seed,22.0,spherical,ZOI,Staphylococcus aureus,7.8,11.0,https://onlinelibrary.wiley.com/doi/full/10.1155/2018/1860280,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 43300,0,water (distilled),AgNO3,80,20,1,done,,,
64,green green synthesis using commiphora myrrh,22.57,spherical,ZOI,Escherichia coli,100.0,30.0,https://www.sciencedirect.com/science/article/pii/S1018364720303001?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,ATCC35218,0,triple deionized water,AgNO3,65,300,10,done,,,
